profile,side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
4,0,6,19,18,16,0.321088995,0.16687099,0.221547517,1.290028957,4.210640821,0.059217026,4.017667926,25.23291091,0.267288151,-5.18478843,-3.197957192,-3.151935978,-18.27043647,-17.96134022,-16.76993945,4.86810112,4.86810112,4.86810112,60.24250506,36.30545859,36.30545859,0.670200307,1.826083386,9.693712373,0.041791713,8.148901756
4,0,7,7,6,6,0.371478478,0.39300482,0.33493089,1.906712131,2.689631466,0.044660766,5.132766075,6.84376203,0.133343229,-2.990533778,-2.342592899,-2.022319912,-14.42603793,-13.92297659,-12.87409253,1.9805336,1.9805336,1.9805336,53.78038416,35.18285871,56.03784056,0.409171811,2.055273657,2.061061675,0.039954282,1.392729907
4,0,8,15,13,8,0.327275165,0.238603605,0.318197469,2.246920512,4.583163863,0.08678536,6.865539314,19.20827587,0.272740574,-3.363057484,-2.477621572,-2.462542788,-17.45468348,-16.85214844,-15.47768438,4.315735817,4.315735817,4.315735817,11.71018459,25.55516369,26.61831821,0.795031719,2.593488084,8.633292884,0.042745328,12.38486796
4,0,9,16,11,10,0.342937774,0.401640413,0.268182119,2.582024953,5.295769499,0.111662103,7.529135453,13.18535019,0.416366695,-4.222672222,-3.482359803,-2.654156073,-16.83582723,-16.46507182,-15.68068098,4.108062267,4.108062267,4.108062267,23.74920649,15.77174193,21.50646918,0.645362863,5.283186026,5.217595481,0.042478195,13.04960141
4,0,10,7,8,7,0.377227579,0.312999756,0.38594666,2.57238422,3.795671521,0.051170135,6.819183864,12.12675552,0.132583437,-2.736501951,-2.647080026,-2.553249404,-13.44781014,-13.45688284,-12.85367243,1.958935738,1.958935738,1.958935738,83.33624622,71.81758567,74.08676238,0.803184494,1.526507736,3.522766989,0.048756276,2.438258832
4,0,11,8,5,6,0.448673257,0.370653178,0.384071077,2.906105258,5.434656896,0.084122353,6.47710825,14.6623777,0.219028085,-3.341682746,-3.962966609,-3.231600308,-14.05328695,-13.84751365,-12.55588792,1.950536966,1.950536966,1.950536966,4.482441028,100,97.64259159,0.51291046,2.39602931,5.845879909,0.05517462,2.2488313
4,0,12,18,15,14,0.264690307,0.320560981,0.237440231,2.857452176,3.532967567,0.062177589,10.79545456,11.02120277,0.261866275,-4.061276254,-4.87345769,-3.727875733,-16.18630681,-16.0332234,-16.04058905,4.423848867,4.423848867,4.423848867,97.88654434,97.88654434,26.60060242,2.108129492,4.203702301,7.637673005,0.05415659,4.814356234
4,0,13,6,7,5,0.392665776,0.348922413,0.372669629,2.970397343,3.784843689,0.058199306,7.564696297,10.84723579,0.156168631,-3.103887778,-2.531327969,-2.665249723,-13.57246668,-13.43295025,-12.58110867,1.945991755,1.945991755,1.945991755,85.91380066,50.56745945,53.02579085,0.654723101,2.318584949,2.993003419,0.038355052,2.159810453
4,0,14,15,15,13,0.26771043,0.382211178,0.207606436,2.304178575,2.916641703,0.062966662,8.606980969,7.630969134,0.303298218,-3.898101187,-3.125894028,-2.917017426,-16.67222568,-16.60719826,-16.04019987,4.321377277,4.321377277,4.321377277,28.46336338,65.67232197,44.59681206,1.563854017,4.991530439,4.86381451,0.042339317,5.399295184
4,0,15,15,15,14,0.322009508,0.338172321,0.306015326,2.033203491,3.347206058,0.058443867,6.31411012,9.897930275,0.190983465,-3.815729792,-2.809859864,-2.922870711,-18.36645802,-17.21735085,-16.33273546,4.829055071,4.829055071,4.829055071,53.79602336,49.94189693,51.8548275,1.255112585,3.803130461,8.23080844,0.046435144,2.718980135
